Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,485.0,8.0,62.0,1632.0,0.1,54.006999999999984,0.0,0.0,280.7744405269623,,,,,,,,,,,,,,,,,,,,,24.387818332629983,16.925356081308077,52.6001028690121,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,513.0,9.0,28.0,1660.0,0.1,21.006000000000007,0.0,0.0,283.9704763889313,,,,,,,,,,,,,,,,,,,,,8.94246261653461,7.212780890375597,20.79718461878999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,591.0,10.0,78.0,1738.0,0.1,58.018999999999956,0.0,0.0,291.72234749794006,,,,,,,,,,,,,,,,,,,,,22.263196951071844,19.120572262501636,56.39520465191557,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,644.0,11.0,53.0,1791.0,0.1,43.00899999999998,0.0,0.0,297.325003862381,,,,,,,,,,,,,,,,,,,,,18.4035534466735,14.020957457810228,42.11780515984083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,737.0,12.0,93.0,1884.0,0.1,81.01100000000005,0.0,0.0,306.8155565261841,,,,,,,,,,,,,,,,,,,,,35.62209658487615,24.99240352526135,77.85377471325835,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,794.0,13.0,57.0,1941.0,0.1,47.00899999999998,0.0,0.0,312.73414039611816,,,,,,,,,,,,,,,,,,,,,20.3026449256037,15.183027330169283,45.943590476603326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,841.0,14.0,47.0,1988.0,0.1,39.006999999999984,0.0,0.0,317.70665740966797,,,,,,,,,,,,,,,,,,,,,17.207276200655738,12.647916512607225,38.27476928236463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,874.0,15.0,33.0,2021.0,0.1,25.00700000000001,0.0,0.0,321.5360779762268,,,,,,,,,,,,,,,,,,,,,10.524225430140683,8.500768286470283,24.709094039790905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,924.0,16.0,50.0,2071.0,0.1,42.006999999999984,0.0,0.0,326.7922487258911,,,,,,,,,,,,,,,,,,,,,18.64424407819459,13.51454678861347,41.15706076055061,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1010.0,17.0,86.0,2157.0,0.1,76.00900000000004,0.0,0.0,335.53107953071594,,,,,,,,,,,,,,,,,,,,,34.046958523478544,23.329902030618815,73.22734302568921,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
